coarse_class,fine class,number_of_tokens,vocab_size
LOC,city,15,12
DESC,desc,14,14
DESC,manner,8,8
ENTY,techmeth,15,15
DESC,reason,6,6
ENTY,other,10,10
ENTY,animal,6,6
HUM,ind,13,12
DESC,manner,15,15
HUM,gr,12,12
DESC,desc,12,12
LOC,other,10,9
LOC,mount,8,8
DESC,def,12,11
DESC,def,3,3
HUM,ind,17,16
DESC,def,5,5
NUM,date,13,13
LOC,other,12,11
LOC,city,11,10
HUM,ind,8,8
ENTY,cremat,11,10
ENTY,techmeth,11,11
HUM,ind,13,13
ENTY,other,24,21
NUM,count,14,13
NUM,count,9,8
HUM,gr,11,11
ENTY,termeq,11,10
LOC,other,7,7
NUM,count,12,12
ENTY,substance,9,9
DESC,desc,9,9
DESC,desc,12,11
DESC,def,5,5
ENTY,other,7,7
HUM,ind,13,12
ENTY,substance,6,6
ENTY,termeq,11,11
ENTY,product,8,8
ENTY,termeq,8,8
HUM,ind,12,12
ENTY,animal,9,9
DESC,manner,10,10
NUM,date,12,12
NUM,count,11,11
HUM,ind,7,7
HUM,ind,7,7
LOC,country,12,12
ENTY,event,10,10
NUM,count,10,10
DESC,manner,5,5
LOC,other,16,16
HUM,ind,12,12
NUM,date,7,7
HUM,ind,14,14
LOC,other,5,5
DESC,def,7,7
LOC,other,6,6
DESC,reason,10,10
DESC,reason,12,12
DESC,desc,7,7
ENTY,event,15,15
LOC,country,8,8
LOC,city,11,11
ENTY,product,10,10
LOC,other,8,8
DESC,desc,11,10
ABBR,exp,12,11
ENTY,animal,9,9
HUM,ind,7,7
NUM,other,11,11
NUM,money,8,8
HUM,ind,9,9
ENTY,letter,11,10
ENTY,termeq,10,10
NUM,perc,18,16
LOC,state,10,10
LOC,other,8,8
HUM,ind,4,4
ENTY,instru,15,15
DESC,def,7,7
LOC,other,8,8
DESC,def,4,4
HUM,desc,4,4
ENTY,cremat,16,15
HUM,ind,7,7
ENTY,animal,8,8
HUM,gr,10,10
LOC,country,20,19
HUM,gr,8,8
ENTY,dismed,7,7
ENTY,food,10,10
ENTY,other,11,11
DESC,desc,10,9
ENTY,termeq,9,8
HUM,ind,18,18
NUM,code,8,8
HUM,title,15,13
HUM,ind,19,16
HUM,ind,12,11
LOC,city,8,8
LOC,other,6,6
DESC,reason,15,15
HUM,ind,9,9
DESC,reason,11,11
ENTY,animal,10,10
LOC,state,8,8
ENTY,event,12,12
NUM,count,10,10
DESC,def,7,7
DESC,def,5,5
HUM,ind,10,10
NUM,money,10,10
HUM,ind,21,21
ABBR,exp,6,6
ENTY,dismed,18,15
DESC,manner,5,5
HUM,desc,5,5
LOC,city,12,11
ENTY,animal,13,12
HUM,ind,9,9
ENTY,other,11,9
NUM,date,11,11
HUM,ind,19,19
NUM,count,17,16
HUM,gr,16,15
LOC,country,9,9
ENTY,animal,7,7
DESC,desc,15,15
LOC,city,11,11
NUM,period,7,7
ENTY,cremat,10,10
HUM,gr,14,14
NUM,money,13,12
LOC,other,10,9
NUM,count,11,10
HUM,ind,19,17
LOC,state,16,14
LOC,other,8,8
LOC,other,7,7
ENTY,food,9,9
ENTY,event,10,10
NUM,date,11,10
ENTY,letter,8,8
ENTY,other,13,13
DESC,def,4,4
LOC,country,8,8
LOC,other,9,8
ENTY,cremat,14,14
LOC,city,11,11
NUM,count,12,12
ENTY,substance,10,9
LOC,country,18,17
LOC,state,8,8
LOC,other,9,8
LOC,other,10,9
HUM,ind,14,12
ENTY,other,15,15
HUM,ind,12,12
DESC,def,5,5
HUM,desc,5,5
ENTY,animal,9,9
HUM,ind,6,6
ENTY,word,12,11
HUM,ind,7,7
DESC,def,5,5
ENTY,termeq,7,7
LOC,other,9,8
NUM,date,7,7
DESC,desc,16,15
HUM,ind,5,5
LOC,other,6,6
ABBR,exp,6,6
DESC,desc,9,9
DESC,def,7,7
HUM,ind,10,9
HUM,ind,6,6
DESC,def,8,8
HUM,ind,9,9
NUM,count,17,16
HUM,ind,12,12
LOC,country,10,10
ENTY,food,13,11
NUM,count,16,15
DESC,desc,8,7
HUM,ind,7,7
HUM,gr,11,10
HUM,ind,13,12
HUM,ind,9,8
DESC,manner,10,10
HUM,ind,22,19
DESC,def,9,8
LOC,other,8,7
LOC,other,20,17
HUM,gr,11,10
ENTY,sport,9,9
HUM,ind,10,10
ENTY,other,5,5
HUM,ind,10,10
HUM,ind,9,9
HUM,ind,8,8
NUM,count,10,10
LOC,other,9,8
HUM,gr,9,9
ENTY,other,11,11
DESC,desc,13,12
DESC,reason,6,6
ENTY,other,6,6
LOC,state,8,8
LOC,state,11,11
NUM,speed,6,6
ENTY,other,10,9
NUM,speed,7,7
ENTY,other,20,18
HUM,ind,8,8
NUM,perc,10,10
LOC,other,9,9
NUM,dist,8,8
ENTY,animal,11,11
ENTY,animal,9,8
DESC,def,6,6
NUM,count,8,8
ENTY,cremat,12,12
LOC,other,10,10
ENTY,cremat,9,9
ENTY,animal,10,10
ENTY,letter,7,7
ENTY,dismed,7,7
LOC,city,8,8
NUM,period,6,6
HUM,ind,7,7
HUM,ind,7,7
ENTY,other,6,6
DESC,def,12,11
DESC,desc,14,13
ENTY,food,11,11
HUM,gr,8,8
ENTY,techmeth,11,11
HUM,desc,5,5
DESC,reason,14,14
LOC,other,7,7
ENTY,cremat,7,7
NUM,other,12,11
NUM,date,7,7
HUM,ind,10,10
HUM,ind,11,11
DESC,def,6,6
LOC,other,15,13
LOC,country,7,7
LOC,other,9,9
HUM,ind,11,11
HUM,ind,10,10
ENTY,symbol,13,12
NUM,other,12,12
LOC,other,9,9
LOC,other,5,5
DESC,def,8,8
ENTY,other,6,6
NUM,period,10,9
NUM,count,9,9
HUM,ind,11,11
DESC,desc,10,10
DESC,def,7,7
HUM,ind,11,11
HUM,ind,8,8
ENTY,product,8,8
NUM,dist,10,10
NUM,date,7,7
ENTY,symbol,12,11
DESC,def,6,6
LOC,country,8,8
HUM,ind,14,13
HUM,ind,7,7
HUM,gr,8,8
HUM,ind,6,6
ENTY,termeq,12,11
ENTY,techmeth,11,11
LOC,city,11,11
NUM,period,10,10
NUM,count,7,7
HUM,ind,10,10
NUM,date,7,7
NUM,perc,8,8
HUM,ind,10,10
LOC,country,11,10
HUM,ind,9,9
DESC,manner,9,9
HUM,ind,9,9
HUM,desc,4,4
DESC,manner,7,7
HUM,ind,17,17
DESC,reason,5,5
ENTY,substance,9,9
ENTY,sport,13,11
ENTY,cremat,10,9
NUM,money,11,11
DESC,desc,11,10
DESC,manner,11,11
NUM,count,10,10
ENTY,techmeth,8,8
ENTY,cremat,14,12
NUM,count,12,12
ENTY,food,6,6
ENTY,color,7,7
DESC,def,9,9
HUM,ind,16,16
ENTY,event,11,11
DESC,def,4,4
HUM,ind,19,19
ENTY,event,9,9
HUM,gr,14,14
NUM,other,15,14
ENTY,termeq,13,13
DESC,reason,9,8
DESC,def,4,4
LOC,city,11,11
DESC,manner,6,6
DESC,def,9,9
ENTY,food,19,19
HUM,ind,6,6
ENTY,other,8,8
ENTY,veh,10,9
LOC,other,11,10
DESC,def,5,5
DESC,def,8,8
ENTY,termeq,8,8
ENTY,cremat,8,8
HUM,ind,7,7
HUM,ind,17,15
DESC,def,6,6
ENTY,sport,11,11
HUM,ind,5,5
DESC,desc,19,17
DESC,def,5,5
HUM,ind,11,11
NUM,date,14,14
DESC,reason,4,4
NUM,dist,6,6
HUM,ind,22,22
ENTY,animal,12,11
NUM,period,10,10
NUM,count,20,17
LOC,other,6,6
DESC,def,8,8
ENTY,dismed,7,7
ENTY,veh,16,15
ENTY,animal,9,9
ENTY,cremat,15,15
LOC,other,9,9
NUM,count,12,12
ENTY,dismed,8,8
HUM,ind,11,11
HUM,ind,18,16
HUM,ind,10,10
DESC,def,5,5
HUM,ind,14,14
DESC,reason,12,12
ENTY,other,8,8
ENTY,animal,8,8
DESC,def,4,4
DESC,desc,9,9
HUM,gr,12,12
HUM,ind,9,8
HUM,ind,7,7
ENTY,other,13,13
DESC,manner,8,8
HUM,ind,6,6
HUM,ind,12,12
NUM,count,20,20
LOC,city,12,12
NUM,period,16,16
ENTY,word,11,11
DESC,manner,6,6
DESC,manner,10,10
NUM,date,15,15
HUM,ind,13,13
NUM,count,12,10
NUM,period,15,15
ABBR,exp,6,6
HUM,ind,11,10
ENTY,dismed,7,7
HUM,ind,12,12
DESC,desc,12,12
LOC,other,9,9
HUM,ind,15,13
DESC,def,10,10
ENTY,product,9,9
ENTY,animal,8,8
DESC,reason,8,7
HUM,ind,20,19
ENTY,other,10,10
LOC,city,11,11
LOC,state,9,9
LOC,state,8,8
NUM,count,8,8
DESC,def,6,6
LOC,other,9,8
NUM,count,8,8
HUM,ind,7,7
ENTY,cremat,18,17
HUM,ind,17,15
DESC,desc,12,11
ENTY,other,13,13
NUM,money,10,10
NUM,date,15,14
LOC,country,7,7
NUM,money,6,6
LOC,other,15,14
LOC,other,6,6
DESC,manner,6,6
ENTY,cremat,15,15
LOC,city,11,11
DESC,def,8,8
HUM,ind,7,7
ENTY,cremat,6,6
HUM,desc,5,5
HUM,gr,10,9
HUM,ind,18,17
ENTY,other,12,12
DESC,reason,11,11
LOC,country,6,6
NUM,count,11,11
ENTY,other,10,10
NUM,date,6,6
NUM,count,11,11
DESC,desc,13,13
LOC,other,7,7
ENTY,other,8,8
NUM,date,5,5
ENTY,food,13,13
DESC,reason,10,9
HUM,gr,7,7
DESC,manner,14,14
HUM,ind,9,9
ABBR,exp,5,5
DESC,def,4,4
ENTY,event,14,14
ENTY,color,13,13
NUM,money,7,7
ENTY,termeq,5,5
NUM,other,12,11
LOC,other,5,5
HUM,ind,11,11
HUM,ind,16,16
ENTY,event,12,12
DESC,desc,11,11
NUM,other,9,8
NUM,date,6,6
HUM,ind,5,5
LOC,city,10,9
DESC,desc,11,11
HUM,gr,14,14
ENTY,other,16,14
LOC,state,10,10
HUM,gr,12,12
LOC,state,12,12
NUM,date,12,12
LOC,country,11,11
HUM,gr,13,13
ENTY,food,8,8
ABBR,abb,8,8
DESC,def,6,6
NUM,period,8,8
ENTY,other,10,10
NUM,count,7,7
HUM,ind,10,10
ENTY,animal,6,6
HUM,gr,17,16
ENTY,cremat,9,9
HUM,ind,10,10
DESC,manner,7,7
ENTY,dismed,7,7
HUM,ind,6,6
ENTY,other,16,15
NUM,date,10,10
DESC,reason,9,8
DESC,def,5,5
ENTY,other,8,7
LOC,city,11,10
DESC,def,6,6
LOC,other,11,11
NUM,period,11,10
HUM,ind,12,11
DESC,desc,9,8
HUM,gr,11,10
NUM,count,12,12
NUM,date,8,8
HUM,ind,13,13
NUM,count,14,14
NUM,period,6,6
NUM,perc,17,15
DESC,manner,21,20
DESC,manner,8,8
NUM,count,12,12
ENTY,termeq,10,10
NUM,count,10,10
ENTY,event,13,12
LOC,country,13,11
ENTY,termeq,15,15
HUM,ind,11,11
HUM,ind,11,10
HUM,ind,13,12
DESC,def,4,4
ENTY,cremat,8,8
ENTY,cremat,12,12
HUM,ind,7,7
LOC,city,12,12
LOC,city,11,11
LOC,other,12,11
ENTY,dismed,8,8
HUM,ind,9,9
LOC,other,10,10
ENTY,techmeth,10,10
HUM,gr,7,7
HUM,ind,11,11
HUM,ind,29,21
NUM,date,13,12
HUM,gr,11,11
HUM,ind,21,19
LOC,country,16,14
HUM,ind,14,14
NUM,money,12,11
LOC,mount,11,10
HUM,ind,9,9
ENTY,cremat,20,19
HUM,ind,16,15
ENTY,event,8,8
ENTY,dismed,11,10
NUM,date,12,11
NUM,count,13,12
DESC,def,12,12
LOC,other,8,7
DESC,desc,9,9
DESC,def,5,5
LOC,country,10,10
DESC,desc,7,7
ENTY,event,19,17
DESC,manner,7,7
NUM,count,9,9
HUM,ind,4,4
NUM,other,10,10
ENTY,sport,8,8
HUM,ind,11,10
NUM,date,10,10
HUM,ind,9,9
LOC,other,9,8
LOC,city,11,11
NUM,date,9,9
HUM,ind,20,16
ENTY,food,13,13
HUM,gr,8,8
HUM,gr,8,8
ENTY,instru,9,9
LOC,city,16,15
LOC,other,9,9
NUM,count,8,8
DESC,def,7,7
ENTY,cremat,11,11
LOC,other,11,11
NUM,count,8,8
ENTY,other,7,7
LOC,other,7,7
LOC,other,14,14
HUM,ind,8,8
HUM,ind,12,11
NUM,period,6,6
DESC,def,8,8
ENTY,product,11,11
LOC,other,6,6
DESC,manner,9,9
DESC,reason,8,7
ENTY,instru,7,7
DESC,desc,11,10
NUM,other,7,7
HUM,ind,7,7
ENTY,cremat,16,14
ENTY,dismed,9,9
NUM,period,6,6
DESC,desc,7,7
HUM,ind,8,8
HUM,gr,9,9
DESC,manner,9,9
ENTY,other,6,6
NUM,count,12,12
LOC,other,6,6
LOC,other,9,9
LOC,other,4,4
LOC,other,21,17
ENTY,word,11,11
HUM,ind,18,17
LOC,city,12,11
ENTY,termeq,8,8
DESC,def,4,4
HUM,ind,6,6
ENTY,color,7,7
HUM,gr,10,10
LOC,other,9,8
NUM,other,6,6
DESC,manner,5,5
NUM,count,11,11
ENTY,color,9,9
DESC,desc,9,8
ENTY,other,9,8
ABBR,exp,6,6
HUM,ind,9,9
HUM,ind,10,10
ENTY,other,5,5
LOC,other,12,12
DESC,def,5,5
ENTY,sport,19,15
DESC,def,5,5
ENTY,dismed,12,12
NUM,date,8,8
HUM,ind,11,11
ENTY,animal,10,10
ENTY,cremat,11,10
LOC,other,12,12
LOC,other,8,8
DESC,manner,8,8
HUM,ind,8,7
DESC,desc,15,14
DESC,desc,9,9
DESC,def,7,7
ENTY,animal,13,11
DESC,def,8,8
ENTY,cremat,15,14
ENTY,symbol,8,8
HUM,ind,15,15
HUM,gr,15,15
DESC,def,7,7
NUM,dist,8,8
DESC,desc,9,8
HUM,ind,13,12
LOC,city,11,11
DESC,reason,5,5
DESC,reason,7,7
HUM,ind,9,9
LOC,state,8,8
DESC,desc,15,14
DESC,desc,7,7
DESC,desc,8,7
HUM,ind,11,10
HUM,ind,18,17
DESC,reason,16,14
HUM,gr,11,11
ENTY,termeq,13,11
NUM,date,14,14
ENTY,substance,6,6
DESC,manner,9,9
DESC,manner,8,8
LOC,other,7,7
ENTY,cremat,15,14
LOC,other,14,14
HUM,ind,5,5
LOC,other,12,11
ENTY,termeq,8,8
ENTY,techmeth,16,16
DESC,manner,8,8
ENTY,veh,10,10
ENTY,dismed,8,8
ENTY,animal,10,10
DESC,def,6,6
NUM,count,16,16
HUM,ind,9,9
NUM,period,16,16
DESC,desc,11,10
ENTY,plant,9,9
DESC,def,5,5
ENTY,techmeth,15,15
LOC,city,10,10
LOC,other,5,5
DESC,manner,25,23
DESC,def,6,6
DESC,manner,11,11
DESC,manner,12,12
HUM,desc,12,12
DESC,desc,9,8
LOC,other,13,13
NUM,other,7,7
DESC,desc,10,10
ENTY,other,12,11
NUM,count,11,11
DESC,def,4,4
ENTY,plant,10,10
ENTY,substance,11,11
HUM,desc,6,6
DESC,desc,10,9
DESC,def,6,6
ENTY,color,9,9
LOC,city,13,11
DESC,reason,8,8
NUM,date,11,10
ENTY,animal,9,8
ENTY,color,10,9
ENTY,event,10,10
ENTY,other,11,11
LOC,country,8,8
NUM,date,8,8
ENTY,cremat,12,12
HUM,ind,14,14
ENTY,termeq,7,7
DESC,desc,12,12
ABBR,abb,7,7
ENTY,animal,19,14
NUM,date,8,8
ABBR,exp,7,7
DESC,reason,17,16
ENTY,product,10,10
LOC,other,15,14
ENTY,color,9,9
NUM,count,11,11
HUM,gr,18,15
ENTY,dismed,12,12
DESC,desc,16,16
NUM,count,12,12
ENTY,termeq,12,10
LOC,country,9,9
DESC,def,5,5
DESC,reason,5,5
DESC,manner,8,8
DESC,def,7,7
NUM,code,8,8
DESC,manner,7,7
ENTY,techmeth,11,11
NUM,date,10,10
ENTY,other,8,7
LOC,country,6,6
ENTY,veh,21,19
HUM,ind,6,6
ENTY,other,8,8
LOC,city,8,8
DESC,def,5,5
HUM,ind,8,8
NUM,count,7,7
LOC,state,8,8
ENTY,cremat,11,11
ENTY,other,17,17
NUM,count,9,9
HUM,ind,21,19
DESC,def,4,4
ENTY,cremat,30,30
ENTY,dismed,7,7
ENTY,cremat,19,17
ENTY,dismed,7,7
NUM,count,7,7
DESC,desc,11,10
NUM,period,6,6
DESC,reason,10,10
HUM,ind,8,8
LOC,state,9,9
NUM,count,14,13
ENTY,sport,15,15
LOC,other,15,15
DESC,def,7,6
ENTY,lang,8,8
ENTY,other,18,18
ENTY,word,17,16
DESC,manner,13,12
HUM,ind,24,18
ENTY,food,7,7
HUM,ind,9,9
HUM,ind,18,18
NUM,count,11,11
LOC,country,8,8
HUM,ind,6,6
ENTY,animal,8,8
NUM,count,13,13
LOC,country,11,10
HUM,gr,6,6
NUM,period,7,7
LOC,other,8,8
NUM,count,8,8
DESC,desc,18,16
DESC,def,6,6
HUM,ind,10,9
HUM,ind,14,14
ENTY,animal,13,13
NUM,other,10,9
ENTY,termeq,11,10
LOC,city,7,7
HUM,ind,12,12
DESC,def,7,7
HUM,ind,13,13
ENTY,termeq,12,12
DESC,reason,14,14
ABBR,abb,12,10
ENTY,dismed,10,9
ENTY,techmeth,8,8
DESC,desc,13,12
HUM,ind,8,8
DESC,manner,8,8
DESC,def,9,8
HUM,ind,7,7
LOC,other,16,15
HUM,gr,10,10
HUM,ind,6,6
HUM,ind,19,18
NUM,date,25,23
NUM,perc,10,10
NUM,date,16,15
NUM,count,8,8
ENTY,other,6,6
DESC,reason,7,7
ABBR,exp,13,12
HUM,ind,9,8
HUM,ind,16,16
DESC,manner,10,9
DESC,reason,10,10
ENTY,body,22,17
NUM,date,7,7
ENTY,substance,10,9
HUM,ind,9,9
NUM,count,16,16
HUM,ind,19,19
DESC,manner,14,14
LOC,other,7,7
ENTY,cremat,15,13
ENTY,termeq,11,11
NUM,date,10,10
ENTY,sport,9,9
ENTY,veh,13,13
LOC,city,10,9
DESC,def,5,5
DESC,def,6,6
DESC,manner,5,5
HUM,ind,12,12
LOC,other,8,8
DESC,manner,9,9
DESC,desc,11,10
ENTY,substance,6,6
LOC,country,15,14
DESC,def,8,8
DESC,reason,10,10
HUM,ind,11,11
DESC,manner,10,10
DESC,manner,18,18
HUM,ind,26,25
HUM,ind,7,7
HUM,ind,9,9
NUM,date,7,7
ENTY,other,14,13
DESC,reason,7,7
DESC,def,6,6
HUM,desc,11,11
DESC,manner,7,7
DESC,manner,8,8
NUM,date,11,10
ENTY,word,7,7
DESC,def,5,5
ENTY,cremat,10,9
DESC,manner,12,11
ENTY,other,10,10
LOC,other,13,11
ENTY,food,6,6
HUM,ind,13,13
ABBR,exp,11,10
ENTY,termeq,13,11
HUM,gr,10,10
LOC,other,7,7
NUM,count,8,8
ABBR,exp,5,5
LOC,other,11,11
ENTY,cremat,8,8
DESC,desc,10,10
HUM,ind,12,12
DESC,def,5,5
LOC,country,11,11
DESC,manner,6,6
ENTY,body,9,8
ENTY,product,7,7
DESC,reason,4,4
NUM,date,8,8
DESC,def,16,15
LOC,state,11,10
DESC,manner,17,16
NUM,other,9,9
ENTY,letter,9,9
DESC,def,5,5
LOC,other,8,7
ENTY,animal,12,11
HUM,ind,6,6
DESC,manner,10,10
DESC,reason,6,6
LOC,other,8,8
DESC,reason,8,8
LOC,country,12,12
NUM,date,13,13
LOC,city,9,9
ENTY,dismed,7,7
HUM,ind,15,14
ENTY,dismed,7,7
DESC,desc,24,23
HUM,ind,16,15
HUM,ind,16,15
NUM,count,11,11
HUM,gr,6,6
LOC,other,8,8
LOC,other,5,5
ENTY,termeq,8,8
DESC,desc,7,6
DESC,manner,11,11
NUM,count,16,15
NUM,count,17,16
DESC,def,6,6
ENTY,symbol,12,11
HUM,ind,12,11
HUM,ind,12,12
ENTY,other,5,5
NUM,period,9,9
LOC,other,14,13
ENTY,lang,7,7
LOC,other,4,4
ENTY,cremat,11,11
ENTY,product,11,11
HUM,desc,5,5
HUM,gr,8,8
ENTY,dismed,7,7
DESC,def,13,12
DESC,desc,12,11
HUM,ind,9,9
LOC,other,8,7
HUM,gr,10,9
LOC,other,8,8
HUM,ind,19,19
LOC,other,6,6
LOC,other,13,12
NUM,count,11,11
NUM,count,13,13
ENTY,other,17,15
NUM,count,8,8
HUM,ind,10,9
ENTY,animal,11,11
HUM,ind,6,6
DESC,desc,8,8
LOC,other,10,10
LOC,country,14,13
ENTY,body,9,8
DESC,def,5,5
HUM,ind,7,7
HUM,ind,10,10
NUM,count,9,9
DESC,manner,7,7
HUM,desc,7,7
NUM,count,8,8
LOC,country,11,10
LOC,other,13,13
NUM,other,7,7
DESC,def,4,4
LOC,state,7,7
DESC,desc,11,10
NUM,dist,6,6
HUM,ind,10,9
LOC,other,10,10
DESC,def,7,7
DESC,desc,12,11
LOC,other,7,7
DESC,def,6,6
DESC,def,6,6
NUM,count,14,12
ENTY,animal,9,8
ENTY,other,12,11
LOC,other,5,5
HUM,ind,17,16
DESC,desc,9,9
HUM,ind,9,9
NUM,count,10,10
LOC,other,10,10
HUM,ind,20,18
HUM,ind,13,12
DESC,def,6,6
ABBR,exp,6,6
LOC,other,8,8
DESC,reason,15,13
ENTY,symbol,11,11
DESC,reason,9,9
HUM,ind,12,12
DESC,manner,6,6
NUM,date,9,9
LOC,city,9,8
ENTY,sport,18,17
HUM,desc,5,5
NUM,weight,9,9
LOC,other,8,8
LOC,country,11,10
ENTY,substance,6,6
HUM,ind,17,16
DESC,def,5,5
DESC,desc,21,19
LOC,state,10,10
LOC,other,10,9
DESC,manner,12,12
ENTY,color,12,12
ENTY,other,18,16
ENTY,body,9,9
LOC,other,9,9
ENTY,letter,10,10
ENTY,termeq,10,10
HUM,ind,3,3
ENTY,substance,11,11
DESC,def,6,6
LOC,other,13,13
DESC,def,4,4
NUM,money,19,18
DESC,desc,11,10
NUM,date,10,10
DESC,reason,12,12
ENTY,cremat,16,15
NUM,other,18,18
DESC,reason,11,11
ENTY,food,9,9
ENTY,other,10,10
NUM,date,6,6
LOC,other,8,8
ENTY,cremat,13,12
DESC,desc,17,16
NUM,period,6,6
LOC,other,12,12
NUM,date,7,7
ENTY,termeq,10,10
NUM,date,9,9
NUM,date,8,8
HUM,ind,6,6
NUM,date,9,9
HUM,ind,12,12
ENTY,dismed,6,6
HUM,ind,11,11
ENTY,dismed,7,7
DESC,manner,8,8
HUM,ind,17,16
NUM,count,12,12
ENTY,instru,10,10
DESC,reason,12,12
LOC,state,12,10
NUM,count,12,12
ENTY,event,13,12
HUM,desc,5,5
ENTY,other,8,8
LOC,other,10,10
DESC,manner,11,10
HUM,ind,10,10
NUM,date,7,7
NUM,date,8,8
HUM,ind,13,11
LOC,other,8,8
HUM,ind,8,8
LOC,state,11,10
DESC,def,5,5
ENTY,animal,6,6
HUM,ind,9,9
LOC,state,8,8
NUM,temp,11,11
ENTY,other,8,8
DESC,def,4,4
ENTY,event,13,12
ENTY,termeq,14,14
LOC,other,6,6
LOC,city,10,10
HUM,ind,11,11
LOC,other,7,7
DESC,def,9,9
NUM,volsize,7,7
ENTY,substance,13,12
DESC,def,4,4
ENTY,cremat,15,15
DESC,manner,11,10
NUM,date,8,8
ENTY,animal,11,10
HUM,ind,10,10
NUM,perc,12,12
NUM,date,9,9
DESC,reason,10,10
NUM,count,8,8
HUM,ind,8,8
NUM,other,12,12
ABBR,abb,11,10
DESC,manner,8,8
HUM,ind,10,10
NUM,count,10,10
HUM,gr,13,13
NUM,count,9,9
HUM,ind,7,7
ENTY,cremat,11,11
NUM,date,9,9
DESC,def,10,9
HUM,ind,16,15
DESC,def,4,4
ENTY,color,11,11
LOC,other,8,8
ENTY,animal,12,12
ENTY,cremat,11,11
LOC,city,9,9
DESC,manner,8,8
ENTY,termeq,10,9
NUM,perc,17,17
ENTY,cremat,10,10
LOC,country,20,17
LOC,other,9,9
ABBR,abb,13,12
DESC,def,4,4
HUM,ind,12,12
DESC,manner,6,6
HUM,ind,16,14
HUM,ind,7,7
HUM,gr,15,15
HUM,ind,22,20
HUM,ind,13,13
LOC,other,6,6
HUM,ind,15,13
ENTY,other,12,12
HUM,gr,22,21
ENTY,product,11,11
DESC,manner,11,11
DESC,desc,11,10
HUM,ind,10,10
HUM,ind,7,7
DESC,def,12,12
LOC,other,9,9
HUM,ind,17,16
HUM,ind,18,13
HUM,ind,10,10
NUM,money,16,15
LOC,other,7,7
DESC,def,10,10
LOC,state,9,8
ENTY,body,9,9
NUM,date,8,8
LOC,state,11,9
HUM,desc,5,5
NUM,other,5,5
ENTY,cremat,15,14
DESC,reason,8,8
HUM,ind,13,11
DESC,manner,19,15
NUM,date,9,9
DESC,def,9,9
ENTY,animal,15,14
NUM,count,11,11
LOC,other,8,8
LOC,other,9,9
ENTY,cremat,15,15
HUM,gr,8,8
NUM,date,11,11
DESC,desc,8,8
ENTY,cremat,7,7
LOC,other,11,10
LOC,state,7,7
DESC,manner,12,11
HUM,ind,14,14
DESC,def,5,5
DESC,def,4,4
ABBR,exp,4,4
NUM,other,7,7
ENTY,animal,11,11
DESC,def,10,10
HUM,gr,10,10
NUM,date,8,8
DESC,manner,8,8
HUM,ind,10,10
HUM,gr,11,11
ENTY,dismed,7,7
ENTY,event,13,12
HUM,ind,4,4
LOC,other,5,5
DESC,desc,15,14
DESC,reason,8,8
ENTY,cremat,7,7
DESC,desc,8,8
ENTY,animal,7,7
NUM,date,11,11
NUM,ord,15,15
NUM,money,14,13
ENTY,cremat,15,13
ENTY,dismed,7,7
LOC,country,12,12
NUM,count,8,8
HUM,desc,5,5
HUM,ind,10,10
ENTY,cremat,10,10
ENTY,color,11,11
ENTY,cremat,9,9
DESC,reason,5,5
NUM,period,14,13
DESC,def,7,7
DESC,manner,5,5
ENTY,veh,11,11
LOC,city,10,9
HUM,ind,21,18
HUM,ind,8,8
ENTY,currency,7,7
ENTY,color,12,11
LOC,other,6,6
DESC,desc,9,8
DESC,desc,7,7
ENTY,other,20,19
HUM,ind,14,13
DESC,manner,6,6
HUM,ind,7,7
HUM,gr,10,10
HUM,ind,12,12
ENTY,other,6,6
HUM,gr,6,6
DESC,desc,14,14
HUM,gr,13,13
LOC,other,29,25
LOC,other,17,16
HUM,ind,12,12
HUM,ind,14,13
DESC,def,7,7
NUM,count,12,10
LOC,other,10,10
HUM,ind,7,7
ENTY,food,10,10
HUM,ind,11,10
HUM,ind,25,19
LOC,city,9,8
DESC,def,4,4
ENTY,cremat,21,21
HUM,desc,5,5
ABBR,exp,6,6
ENTY,termeq,14,13
DESC,def,6,6
DESC,reason,6,6
NUM,other,8,8
HUM,ind,17,14
DESC,reason,14,14
DESC,desc,10,10
DESC,desc,15,15
DESC,desc,10,9
HUM,ind,13,11
DESC,desc,11,9
DESC,def,5,5
DESC,desc,10,10
DESC,manner,17,14
DESC,desc,17,17
HUM,ind,7,7
LOC,city,10,10
DESC,desc,10,9
LOC,other,6,6
NUM,date,7,7
DESC,desc,9,9
NUM,count,7,7
HUM,gr,7,7
HUM,ind,12,12
HUM,ind,13,12
ENTY,cremat,26,22
LOC,other,17,17
DESC,manner,11,10
DESC,def,6,6
NUM,money,11,10
ENTY,other,6,6
NUM,other,9,9
ABBR,abb,8,8
LOC,other,7,7
ENTY,cremat,15,14
DESC,manner,12,11
DESC,manner,11,11
ENTY,color,6,6
ENTY,other,12,12
NUM,count,8,8
HUM,ind,9,9
DESC,def,5,5
ENTY,other,10,10
LOC,mount,12,11
DESC,def,5,5
DESC,def,8,8
DESC,reason,7,7
ENTY,event,7,7
DESC,def,4,4
NUM,dist,6,6
ENTY,veh,15,15
DESC,reason,12,11
LOC,other,15,15
LOC,country,10,10
NUM,date,10,10
DESC,desc,8,8
ENTY,termeq,7,7
LOC,country,10,10
DESC,desc,9,9
ENTY,word,8,8
ENTY,cremat,15,15
HUM,ind,17,17
HUM,ind,20,20
DESC,def,6,6
